Identifier, Size, m5, p2, p4, p1, m6, p5, m1, m2, m3, m4, p3, p6
prpR, 1331.3, , , , , , 10250:3:4:0.5, 38750:1:1:0, 10750:1:1:0, , , 3250:1:4:0;46750:1:1:0;56750:1:1:0, 25750:1:1:0;26250:1:1:0;25750:1:1:0
prsA, 843.7, , , , , , , , 12250:1:4:0, , 13250:1:1:0, 17250:2:3:1, 750:1:1:0
psd;yjeP, 3409.0, , , , 16750:1:1:0, , , 30750:1:1:0;46750:3:3:0.5;56250:3:4:0.431034;28250:3:3:0.508772;39750:1:1:0, 24250:1:4:0.0243902;13750:1:4:0;23750:1:4:0.0232558, 50750:2:2:0.943182;43250:1:1:0;53750:3:5:0.863014;49750:1:1:0;43750:1:1:0, , 27250:1:1:0;35250:1:1:0.0416667;19250:2:3:1;58250:3:6:0.727273;17250:1:4:0;11250:1:1:0, 12750:1:1:0;8250:1:1:0;23750:1:1:0.00714286;16250:1:1:0.00666667;34750:1:1:0;41250:3:4:0.0720721;8750:1:1:0;23750:1:1:0;1250:1:1:0.0105263;750:1:1:0;26250:3:3:0.909091
psiF, 354.3, , , , , , , , , 37250:2:2:1, , 43750:1:1:0;20750:2:3:1, 1250:1:1:0
pspE;pspD;pspC;pspB;pspA, 1577.7, , , , , , , 53250:1:1:0, , , , 32750:1:1:0, 24750:2:2:1;4750:2:2:1;57750:3:6:0.046875;46250:1:1:0;45250:3:4:0.0211268;42750:3:4:0.0642202
pspF, 861.3, , , , , , , , , , 50250:1:1:0;43750:1:1:0, 6250:2:3:1, 18250:1:1:0.00925926;7250:1:1:0;15250:1:1:0;53250:3:6:0.731959
pssA, 1152.7, , 35250:1:1:0, , , , , 59250:3:6:0.118644;31750:3:3:0.480392, , 35750:1:1:0, , 37250:1:1:0.0333333, 17750:1:1:0;7750:1:1:0
pstB;phoU, 1258.3, , , , , , , 28250:1:1:0;49250:3:4:0.298851, , 53250:3:5:0.04, 35250:1:1:0, 26750:1:1:0;43750:1:1:0, 10750:2:2:1
pstC;pstS;pstA, 2429.3, , , , , , , 54750:1:1:0;53750:3:4:0.4625, 12250:1:4:0.0625;11750:1:1:0;26250:1:1:0, 45750:1:1:0.0188679;36250:2:2:1, 50250:1:1:0;48750:1:1:0;50250:1:1:0;29250:1:1:0, 51250:1:1:0;35250:2:3:1;7250:1:1:0, 16250:1:1:0;12250:2:2:0.984496;17750:1:1:0;9250:2:2:0.990741;4750:1:1:0;24750:2:2:0.99115
pth, 558.0, , , , , , , , , , , 25250:1:4:0, 43750:1:1:0
ptsG, 1173.3, , , , , , , , 8250:1:1:0, 37750:2:2:1, , 46750:2:3:1;40250:1:1:0;4750:1:1:0, 42250:3:4:0.091954;15750:1:1:0
ptsI;ptsH;crr, 2093.0, 55250:3:6:0.896907, , , , , , 51250:1:1:0;26250:2:2:1, 17750:1:1:0, 53250:3:5:0.0384615, , , 27750:3:3:0.870504
ptsP;ygdP, 2274.0, , , 13750:1:1:0, , , , 50750:1:1:0;33750:1:1:0;55250:3:3:0.537736;30250:3:3:0.608108;45750:1:1:0, 5750:2:3:1;5250:1:1:0;3250:1:1:0, 47750:1:1:0, , 18750:1:1:0, 47750:2:3:0.94958;49750:1:1:0;17250:1:1:0
purA, 1074.3, , , , , , , , , , , 10250:1:1:0, 5750:1:1:0
purB;ymfB;ymfC;trmU;ycfC, 3461.0, , 34750:1:1:0, , 5750:2:2:1, , , 37250:3:3:0.632353;53250:1:1:0;34250:3:3:0.550725, 38750:2:3:0.90625, , 29250:1:1:0;6250:3:4:0.25;13250:1:1:0, 40250:1:1:0;2750:2:2:1, 54250:1:1:0;30250:1:1:0;52750:3:3:0.797753;6750:1:1:0;35750:1:1:0;17250:2:2:0.989474;8250:2:2:0.988506;16750:1:1:0;12250:2:2:0.990476;23750:1:1:0;26750:1:1:0
purC, 615.7, , , , , , , , , , , , 
purH;purD, 2324.0, , , , , , , 49250:1:1:0.0487805, 30750:1:1:0.0243902;22250:2:3:1;19750:2:3:0.972973;24250:2:3:0.956522, 43250:1:1:0;53250:3:5:0.88, , , 24750:1:1:0
purK;ybbF;ppiB;purE, 2353.7, , , , , , , 41750:3:4:0.343284;24250:1:1:0, , , 56250:1:1:0;48250:1:1:0;26750:2:2:1;42250:3:4:0.27907, 12250:2:2:1;28750:1:1:0, 5250:2:2:0.989583;50250:1:1:0;15750:1:1:0
purL, 3072.3, , , , 33750:1:1:0, 57250:3:6:0.703704, , , 17750:1:1:0;27250:1:1:0;9750:1:4:0, 57750:3:5:0.0898876;35750:1:1:0;57250:3:5:0.9125;34750:3:5:0.492308, 17750:1:1:0;54750:1:1:0;35750:3:3:0.791667;35250:1:1:0, 46250:1:1:0;23250:1:4:0;45750:1:1:0;46250:1:1:0;17250:1:1:0.166667;8250:1:1:0, 24750:2:2:0.988636;37250:1:1:0;28750:1:1:0;27250:1:1:0;46250:1:1:0;25750:3:3:0.893443
purN;purM, 1376.3, , , , , , , 30250:3:3:0.557143, 35250:2:3:0.9, 52250:1:1:0, 25250:1:1:0, 14250:2:2:1, 28250:1:1:0;5750:1:1:0
purR, 889.3, , , , , , , 30250:3:3:0.583333, , , 40250:3:4:0.26087, , 
purT, 921.7, , , , , , , , 25750:2:3:0.980769, 34750:1:1:0;42250:2:2:0.866667, , 27250:2:3:1;41250:1:1:0;17250:1:1:0, 15750:1:1:0;20250:2:2:1
putA, 3141.7, , 21250:1:1:0, , , , , 28750:1:1:0, 14750:1:4:0, 34750:1:1:0, 38750:1:1:0;45250:3:3:0.6875, , 54750:1:1:0;49250:3:4:0.0833333;9250:1:1:0;7750:1:1:0;29750:1:1:0
putP, 1243.7, , , , , , , , 13750:2:3:1, 42750:1:1:0;37750:1:1:0;37250:1:1:0, 58750:3:6:0.132075;17750:2:2:1;29250:1:1:0;19250:1:1:0, 24750:1:1:0, 33250:1:1:0;43750:1:1:0;32750:2:3:0.94;41250:1:1:0
pykA, 1187.7, 17250:1:1:0;19250:2:3:0.989583, , , , , , , , 40250:1:1:0.0594059;43250:2:2:0.915493;39750:1:1:0, , 17750:1:1:0;25250:2:3:1;29750:1:1:0;18750:1:4:0, 7750:1:1:0;7250:1:1:0
pykF, 1176.0, 1250:1:1:0;1250:2:3:0.941748;34250:2:3:0.971014, 250:2:2:1;3250:1:1:0, 250:2:2:1, 250:2:2:1, 250:2:2:1, 12750:3:3:0.625;250:2:2:1;250:1:1:0, 3250:1:1:0;52250:1:1:0, 250:2:2:1;4250:1:1:0;9750:1:1:0, 1750:2:2:1;48750:2:2:0.923077;14250:1:1:0, 250:2:2:1, 750:2:2:1, 27750:3:3:0.888889;250:2:2:1;6750:1:1:0
pyrB;pyrI, 1096.0, , , , , , , 48250:3:3:0.570093;26250:2:2:1;45750:1:1:0, , , , , 16750:2:2:1
pyrC, 923.3, , , , , , , 26250:2:2:1, , , , , 31750:1:1:0
pyrD, 875.7, , , , , , , 38250:1:1:0;32750:1:1:0, , 50250:3:5:0.808989, 50250:3:4:0.264706;48750:1:1:0, 7250:1:1:0.0434783;27250:2:3:1;25750:1:4:0, 750:1:1:0;17250:1:1:0.00847458;27750:2:3:0.957627
pyrE, 560.7, , , , , , , , 11750:1:1:0, 37750:2:2:0.968254, , 28750:2:3:1, 12250:2:2:1;19250:1:1:0;750:1:1:0.0291262
pyrF;yciH, 905.3, , , , , , , 25250:2:2:1;47250:1:1:0, 19250:1:4:0.0857143;22750:2:3:0.934783, 50750:2:2:0.940476, 45250:1:1:0, , 25750:3:3:0.893204;43750:1:1:0;17250:1:1:0
pyrG;eno, 2492.3, , 32750:1:1:0, , , , , 53750:3:4:0.47619;5750:1:1:0;34750:1:1:0, 4750:1:4:0.04, 49250:1:1:0;58250:1:1:0, 32750:1:1:0;12750:2:2:0.982456;43250:1:1:0, 41250:1:1:0.0526316, 14250:1:1:0
pyrL, 205.7, , , , , , , 33250:3:3:0.594203, 44250:1:1:0.0571429, , 22250:2:2:0.944444, 37750:1:1:0, 38250:1:1:0.00675676;8750:2:2:0.992908
qor, 839.0, , , , , , , , , 55750:1:1:0, 7750:1:1:0, , 8250:2:2:1;49750:3:4:0.0470588;60250:3:4:0.0634921
queA;yajC;secD;tgt;secF, 4289.7, , , , 32750:1:1:0;32250:1:1:0;28250:2:3:1, 25750:3:4:0.0789474, , 28250:3:4:0.521739;49750:3:4:0.529412;39250:1:1:0;32250:1:1:0;45250:1:1:0;26250:2:2:1, 24250:2:3:0.973684;10250:1:1:0;10250:2:3:1;12750:1:1:0, 23250:2:2:1, 27250:1:1:0;37750:1:1:0;35250:1:1:0, 19250:1:1:0;43250:1:1:0;19250:2:3:1;38250:1:1:0;43750:1:1:0;29750:1:1:0;49750:1:1:0;45750:1:1:0.0357143, 18250:1:1:0;17750:2:2:1;7750:1:1:0;8250:2:2:1;14250:2:2:1;31250:1:1:0.0105263;13250:2:2:1;32250:1:1:0;22750:1:1:0
rRNA:rrfF, 13.0, , , , , , , , , , , , 
radC, 623.0, , , , , , , 44250:1:1:0, , , , , 31750:1:1:0;45250:3:4:0.0729927
rarD;yigI, 1217.0, , , , , , , 30750:3:3:0.627907;26250:2:2:1;40750:1:1:0;28750:3:3:0.635135;40750:1:1:0;57250:3:6:0.0888889;38250:3:4:0.315315, 8750:1:4:0;15250:1:1:0, , 37750:3:3:0.674419, 41250:1:1:0;25750:1:1:0;47750:2:3:1, 33750:3:3:0.894118;46750:1:1:0;7250:1:1:0;42750:3:4:0.0285714
rbn;yihX;dtd, 1558.3, , , , , , , 28250:1:1:0;38750:1:1:0, , , , , 16250:1:1:0.00636943;53750:1:1:0;28250:1:1:0.00657895;13250:1:1:0
rbsA;rbsC;rbsB;rbsD, 2995.7, , , , , , , , , , , , 
rbsK, 801.0, , , , , , , , , , , , 
rcsC, 2254.0, , , , , , , , 17750:1:1:0;3250:1:1:0;17750:1:4:0;13750:1:4:0, 37250:1:1:0.00952381, 27750:2:2:1, 34250:1:1:0, 34250:1:1:0;17250:1:1:0;10750:2:2:1;25250:1:1:0;13750:2:2:1;26750:1:1:0
rcsF;yaeB, 950.0, , , , , , , 53750:3:4:0.493976, 9250:1:4:0.03125;30750:1:1:0, , 35250:1:1:0;56250:1:1:0, , 
rdgC, 805.7, , , , , , , , 20750:1:4:0, , , 20250:1:4:0;43250:1:1:0, 13750:2:2:1;35250:1:1:0
recA;ygaD, 1378.7, , , , , , , 56250:3:6:0.128571;41250:1:1:0;28250:1:1:0, , , 13750:1:1:0;10250:1:1:0, , 10750:2:2:1;8250:2:2:1;6250:1:1:0
recB;ptr;recD, 6432.0, , , , , , , 49250:1:1:0;46250:1:1:0;53750:1:1:0;30250:3:3:0.785714;26250:2:2:1;40750:3:3:0.477612;28750:1:1:0;26750:1:1:0;46250:3:4:0.309091, 12750:1:1:0;25250:1:4:0.037037, 43750:1:1:0;34750:1:1:0, 10250:2:2:1;26250:2:2:1;56750:3:4:0.226415;32250:1:1:0;42250:1:1:0;19750:2:2:1;56750:3:4:0.243243, 29750:2:3:1;20750:1:1:0;35250:2:3:1;8250:1:1:0;14250:1:1:0;18750:1:4:0;43250:1:1:0;28250:1:1:0;18250:1:4:0;25250:1:1:0, 15750:1:1:0.00884956;28750:1:1:0;4750:2:2:1;750:1:1:0;20750:2:2:1;42750:3:4:0.0869565;42750:1:1:0;21750:2:2:1;41750:3:4:0.0666667;30750:1:1:0;22750:1:1:0;32250:1:1:0.00625;10250:2:2:1;47250:1:1:0;20250:2:2:0.990654;30750:3:3:0.913043
recC;ppdB;ppdC;ygdB;ppdA, 4022.3, 18250:1:1:0, , , , , , 26750:2:2:1;49750:1:1:0;21250:3:4:0.342857;35250:3:3:0.578125, 24250:2:3:1;19750:2:3:1, 47250:2:2:0.957627;35250:1:1:0;40250:1:1:0, 9750:1:1:0, 33250:1:1:0.0526316;11750:2:2:1;33750:1:1:0;37250:1:1:0;23750:2:3:1, 36250:1:1:0;30750:2:3:0.957983;1750:1:1:0;8750:1:1:0;43750:1:1:0;34750:1:1:0;62750:3:6:0.129771;53750:3:6:0.268908;61250:3:6:0.188034;36750:1:1:0;27250:1:1:0;8750:1:1:0;8250:2:2:1;11750:1:1:0;750:1:1:0
recG;ECB_03510, 2255.0, , , , , , , 54250:3:4:0.397059, , 38250:1:1:0, , , 44250:3:4:0.0933333;17750:2:2:0.993939;16750:1:1:0
recJ;prfB;prfB_2;dsbC;lysS;xerD, 4841.0, , 42250:1:1:0, , , , , 23750:1:1:0;21250:3:4:0.394737;30250:3:3:0.677966;30750:1:1:0;25250:2:2:1;52250:1:1:0;30250:3:3:0.57971;47750:1:1:0, 13750:1:1:0;23750:1:4:0.0243902;25750:2:3:0.90566;23250:1:1:0;21250:2:3:0.981481, 37750:1:1:0, 51750:1:1:0;16750:2:2:1;20250:2:2:0.979592;38750:1:1:0;41750:1:1:0;32750:1:1:0;29250:1:1:0;40750:1:1:0;50250:3:4:0.183673;56250:3:6:0.222222, 29750:2:3:1;43750:1:1:0;9250:1:1:0;32750:1:1:0, 8250:1:1:0;41250:1:1:0;29250:1:1:0;4750:2:2:0.991379;43750:1:1:0;52750:3:6:0.732143;43750:3:4:0.0344828;43750:1:1:0.00892857;9750:1:1:0;59750:3:4:0.0392157;14750:1:1:0;8750:2:2:0.986577;41250:1:1:0
recN, 1363.0, , , , , , , 53750:3:4:0.357143;52250:3:3:0.526316, 10750:1:4:0;15250:1:1:0, , , 32250:2:3:1, 4750:1:1:0
recQ;rhtC, 2048.3, , , , , , , 26250:2:2:1;49250:3:3:0.583333;44250:3:3:0.515625, 54750:3:6:0.392857, 48250:1:1:0, , 42250:1:1:0, 26750:1:1:0.00694444;27250:1:1:0;17750:2:2:1;50250:1:1:0
recT;recE, 2786.0, , , 25750:1:1:0, , , , 52250:1:1:0;43750:3:3:0.619718;30250:3:3:0.592105, 6250:1:4:0.125, 44750:1:1:0;44250:2:2:0.901961, 23250:1:1:0, 19250:1:1:0, 27750:1:1:0;19750:1:1:0.00934579;8250:1:1:0;41750:3:4:0.0569106;43750:3:4:0.0487805;46750:1:1:0;11250:1:1:0.00990099;35250:1:1:0
recX, 458.3, , , , , , , 26750:3:3:0.448276;46750:3:6:0.260116, , , 45250:3:3:0.653061, , 29750:1:1:0
renD;emrE, 561.7, , , 21250:1:1:0, , , , 36750:3:4:0.495652;43750:3:3:0.555556, 18750:1:1:0, , 54250:1:1:0, 43750:1:1:0;24750:1:1:0, 16750:1:1:0;31750:1:1:0.0135135;60750:3:6:0.127273;17750:2:2:1
rep, 1659.3, , , , , , 27250:1:1:0, 29250:1:1:0;25750:2:2:1, , 52750:1:1:0, 45750:1:1:0, 2750:2:6:0.913043;26250:1:1:0, 15750:1:1:0;42250:1:1:0;13750:1:1:0;32750:3:3:0.92;24750:2:2:0.986014;42750:3:4:0.0645161
rfaE;ygiF;glnE, 4455.3, 57750:3:6:0.125828, , , , , , 32750:1:1:0;46250:1:1:0;38250:1:1:0;27250:1:1:0;26250:2:2:1;52250:1:1:0, 19250:1:4:0;16750:1:1:0, 45750:1:1:0;48250:2:2:0.917526, 32750:1:1:0;55250:1:1:0;9250:1:1:0;19250:1:1:0;45250:3:3:0.672727, 4750:2:2:1;30250:1:1:0;32750:1:1:0;12750:2:2:1;43750:1:1:0;35750:1:1:0, 9750:1:1:0;32250:2:3:0.95283;54250:1:1:0;17750:1:1:0;57250:1:1:0;8250:2:2:1
rfbB;wzx;vioA;rmlC;rfbA;rfbD, 4974.3, , , , , , , , , , , , 40750:1:1:0.00934579;28750:1:1:0;8250:1:1:0;35750:1:1:0;40750:2:3:0.93;31250:3:3:0.642857;17750:1:1:0;27250:1:1:0;42750:1:1:0;52750:3:6:0.229885;33250:1:1:0;4750:2:2:1;8750:2:2:1;16250:1:1:0;8750:1:1:0;8250:2:2:1;15750:1:1:0
rffG;rffH;wecB;wzzE;wecC;rfe, 5149.3, , , 59250:3:5:0.115385, , , , 53250:1:1:0;46250:3:4:0.318182;30750:3:4:0.342466;49250:1:1:0;26250:2:2:1;52250:1:1:0;55750:3:3:0.566667, 6750:1:1:0;7250:1:4:0, 41250:3:5:0.075188;47250:1:1:0;50250:1:1:0, 58250:3:4:0.225;47250:3:3:0.557377, 2750:2:2:1;16250:1:4:0;19250:1:1:0;10250:1:1:0, 17250:2:2:0.988439;29750:3:3:0.911392;1750:1:1:0;46250:1:1:0;16750:1:1:0;7250:1:1:0.00628931;45750:1:1:0;31250:1:1:0.00813008;13750:1:1:0;27750:1:1:0;43750:1:1:0;39750:3:4:0.0916667;5750:1:1:0;43750:3:3:0.867257;25250:1:1:0;24750:2:2:0.99115
rhaA;rhaB, 2169.0, , , , , , , 29250:3:4:0.368421;27250:1:1:0;26750:1:1:0, , 35750:1:1:0, 37750:3:4:0.355556;45250:3:3:0.634146, , 37250:1:1:0.00900901;47750:1:1:0;27250:1:1:0
rhaD;yiiL, 929.0, , , , , , , 49250:1:1:0;49250:1:1:0;25750:2:2:1;25750:2:2:1, 17750:1:4:0.0338983, , , , 
rhaS, 744.7, , , , , , , , , , , , 13250:2:2:1;38250:1:1:0
rhaT;rhaR, 1631.7, , , , 5750:1:1:0, , , 21250:3:4:0.362319;46750:3:4:0.322034;29250:1:1:0;38750:1:1:0, , , 42250:1:1:0.0212766, 20750:2:3:1;40750:2:3:0.969697, 9250:1:1:0;39250:1:1:0;41250:1:1:0.00787402;29750:3:4:0.0614035;3250:1:1:0;3250:1:1:0;16250:1:1:0.00657895;46250:1:1:0;41750:1:1:0
rhlB, 1081.0, , , , , , , , , 35250:1:1:0, , 9250:1:1:0, 35250:3:3:0.914692;16750:2:2:0.984127;23750:1:1:0.010101
rhlE, 1123.7, , , , , , , 45250:3:3:0.386364;53750:3:4:0.634146, , , , 39750:1:1:0;15250:1:1:0;48250:2:3:1, 750:1:1:0
rho, 1048.3, , , , , , , 45750:1:1:0, , , 10750:2:2:1, 49250:1:1:0, 21750:1:1:0.00543478;23750:1:1:0
rhoL, 178.7, , , , , , , , , , , , 
rhsB;yhhH, 847.0, , , , , , , 55250:3:4:0.388889;36750:1:1:0;53750:3:4:0.422222, 13750:1:4:0;20750:1:4:0.00990099, 40250:1:1:0, 24250:1:1:0;10250:1:1:0, 52750:2:6:0.921053, 16250:1:1:0;17750:1:1:0.00657895;19250:1:1:0;50250:1:1:0;9250:1:1:0
rhsD, 603.0, , , , , , , , 31250:2:3:0.931034;10250:2:3:1;20250:1:1:0, , 55250:1:1:0.0707071, 35250:2:3:1, 28250:1:1:0.00840336;33250:1:1:0.00694444
rhtB, 589.0, , , , , , , 12750:1:1:0;53750:3:4:0.416667, , , , , 8750:2:2:1
ribA, 568.0, , , , , , , , , , , 33750:1:1:0;30250:1:1:0, 4750:2:2:1;46750:3:4:0.109375;27250:3:4:0.0714286;4750:2:2:1;11750:2:2:1
ribB, 617.7, , , , , , , , , , , , 39250:1:1:0;62250:3:6:0.497076;39250:1:1:0
ribC, 607.3, , , , , , , , 39250:1:1:0, , , 30750:2:3:1, 35250:3:3:0.915385;28250:1:1:0
ribH;nusB;ribD;ybaD, 2022.3, , , , , , , 25750:2:2:1, 18250:2:3:1, 52750:1:1:0.0175439, , 8250:2:2:0.916667, 31750:3:3:0.883721;16750:1:1:0;61750:3:6:0.154472;20250:2:2:1;750:1:1:0
rihA, 840.7, , , , , , , , , , 10750:1:1:0, , 13750:1:1:0;43750:1:1:0;17250:1:1:0
rihB, 835.7, , , , , , , , 29250:1:1:0, 49750:1:1:0;53250:3:5:0.0258621, , 2750:2:2:1;38750:1:1:0, 750:1:1:0;60250:1:4:0.025;17750:2:2:1
rihC;ispH;fkpB, 1846.7, , , , , , , 41750:1:1:0;27750:3:3:0.64;50250:1:1:0, 6250:1:4:0.0392157;18750:1:4:0;23250:2:3:0.981481, 58250:3:5:0.42029, 13750:1:1:0;41250:1:1:0, 15250:1:1:0;10750:1:1:0;25250:1:4:0;45250:1:1:0;39250:1:1:0, 43750:3:4:0.0733945;17250:1:1:0
rimL;ydcK, 1346.0, , , , , , , 53750:1:1:0, , 35250:2:2:0.93913, 57750:3:4:0.258065;25750:2:2:0.952381, 27250:2:2:1;25750:1:1:0;8750:2:2:1;38250:1:1:0, 750:1:1:0;40750:3:3:0.892473;37250:3:3:0.895652;15750:1:1:0
rimM;rpsP;rplS;trmD, 1681.7, , , , , , , , , 11250:2:2:1;56750:1:1:0;48750:2:2:0.851064, , 17250:2:3:1, 750:1:1:0;25750:2:2:1
rluC, 829.3, , , , , , , 41250:3:3:0.58209;41750:1:1:0, 8750:1:1:0, 39250:1:1:0, , 46250:1:1:0, 
rluD;yfiH, 1429.7, , , , , , , 39750:1:1:0;47750:3:4:0.245283, , 58250:3:5:0.0530303, 6250:1:1:0;43750:3:4:0.362637, 23750:1:1:0;29750:1:1:0, 16750:2:2:1;10250:2:2:1;15250:1:1:0
rmf, 231.0, , , , , , , , 40750:2:3:0.968254, , , , 
rna, 723.3, , , , , , , , 2750:2:2:1;17250:1:4:0.0540541, , , 29750:1:1:0;36250:2:3:1, 1750:1:1:0;43750:1:1:0
rne, 2564.7, 9250:2:3:0.954545, , , , , 23750:3:3:0.773585, , 7250:1:4:0;5250:1:4:0.0454545, , 29250:1:1:0, 25750:1:1:0;14750:1:1:0;9250:1:1:0;14750:2:2:1;16250:1:1:0, 21750:1:1:0;15250:1:1:0;1750:1:1:0;13750:2:2:1
rnfG;rnfD;rnfE;rnfB;rnfC;rnfA;nth, 4649.7, , , , , , , 28750:1:1:0;42250:3:4:0.411765;35750:1:1:0;32250:1:1:0;28250:1:1:0;35750:1:1:0;30250:3:3:0.545455, 10250:2:3:1;19250:1:1:0;16250:1:1:0;14750:1:4:0;19250:1:1:0, 38250:1:1:0;35750:1:1:0, 43750:3:4:0.333333;45250:3:3:0.575758, 20750:1:4:0;30250:2:3:1;33250:1:1:0;35750:1:1:0;34250:1:1:0, 36750:3:3:0.920792;9250:1:1:0;4750:2:2:1;59750:1:1:0;25750:2:2:1;10250:2:2:1;29250:2:3:0.938462;55750:1:1:0;46250:1:1:0;50250:1:1:0;18250:2:2:0.989899;9750:1:1:0
rnhA, 423.0, , , , , , , 58250:3:6:0.26087, , , 40750:1:1:0, 45750:1:1:0, 
rnk, 425.3, , , , , , , 14250:1:1:0, , 57250:1:1:0.0106383, , , 
rnr;yjeB, 2336.3, , , , 14250:2:2:1, , , 50250:1:1:0;41750:1:1:0, 3750:2:3:0.933333, 42750:2:2:0.946429, 38750:1:1:0, 53250:2:6:0.878788;43750:1:1:0, 13250:1:1:0.00840336
rnt, 598.7, , , , , , , , , , , 27750:1:1:0, 
rph, 653.7, , , , , , , , , , , 39750:1:1:0, 36250:1:1:0;16750:1:1:0.00666667;33250:3:4:0.0714286
rpiA, 575.3, , , , , , , , , , 32750:1:1:0, 28250:1:1:0;15250:2:3:1, 35250:1:1:0
rpiB, 443.3, , , , , , , 36750:3:4:0.446154, , , , 10750:1:1:0;25250:2:3:1;5750:1:1:0, 6750:1:1:0
rplJ, 470.3, , , , , , , , , , , , 
rplK;rplA, 956.7, , , , , , , 58750:3:6:0.0985915, 15250:1:1:0, , , , 33750:1:1:0
rplL, 340.3, , 29750:1:1:0, , , 27250:3:4:0.189655, , , , , 50250:1:1:0, , 28750:1:1:0;36250:1:1:0;43250:1:4:0.0229008
rplM;rpsI, 753.0, , , , , , , , , , , 2750:2:2:1, 10750:1:1:0
rplT;pheM, 471.0, , , , , , , , , , , , 
rplY, 322.7, , , , , , , , 17250:2:3:0.92, , 37750:1:1:0, 15250:2:3:1, 42250:1:1:0;4750:1:1:0
rpmA;rplU, 570.7, , , , , , , , , , , , 
rpmB;rpmG, 436.7, , , , , , , , , , 10750:2:2:1;25750:2:2:1, , 
rpmE, 270.0, , , , , , , , , , , , 47750:3:4:0.0827586;27250:3:3:0.917355
rpmH;rnpA;yidD;yidC, 1930.0, , , , , , , 38750:1:1:0;27750:1:1:0, 43750:1:1:0, , , , 32750:3:4:0.060241;38750:1:1:0;7250:1:1:0;8750:1:1:0;11750:1:1:0;47750:1:1:0
rpmI, 249.3, , , , , , , , , , , , 9750:1:1:0
rpoA;rpsD;rpsK;rpsM;rplQ, 2352.7, 16250:1:4:0.0855856, 37250:2:2:1;31250:1:1:0, , 35250:1:1:0, 15250:1:1:0, , 18250:2:2:1;5250:2:2:1, 9750:1:1:0;12250:1:4:0.0337079;19750:1:1:0, 48250:1:1:0, 18750:1:1:0;5250:1:1:0;7250:2:2:1, 4750:2:2:1, 8250:1:1:0;7250:1:1:0;9250:1:1:0
rpoC;rpoB, 6444.7, 25750:1:1:0;32750:1:1:0, , , 25250:1:4:0;11750:1:1:0, 29250:3:4:0.0945946, 36750:1:1:0, 45250:1:1:0;46750:3:3:0.631579;23250:1:1:0;26250:2:2:1;35750:3:4:0.458333;32750:1:1:0;42750:1:1:0;26750:1:1:0, 14250:1:4:0.0289855;36750:1:1:0, 36750:1:1:0;41250:1:1:0.0980392;34750:2:2:1;48250:2:2:0.92233;31750:1:1:0;37250:2:2:1;45250:1:1:0;44750:1:1:0, 24750:1:1:0;14250:2:2:1;26250:2:2:1;48250:3:4:0.237288;37250:3:4:0.236364, 52250:1:1:0;45750:1:1:0, 48750:3:4:0.0722892;49250:3:3:0.802721;23250:1:1:0;5250:2:2:1;20250:2:2:0.993902
rpoD, 1530.7, , , , , 23750:3:4:0.0526316, , 48750:1:1:0;48750:1:1:0, 30250:2:3:0.983333;17750:1:4:0;3750:2:3:0.958333, , , 39750:1:1:0;19250:2:3:1;27250:2:3:1, 57750:1:1:0;6750:1:1:0;16750:2:2:1;3250:1:1:0.00840336;23750:1:1:0
rpoH, 761.7, , , , , , , 52250:3:3:0.575758, 30250:2:3:1, , , 3750:2:2:1, 20250:2:2:0.990566;60750:3:4:0.168142;15750:1:1:0
rpoS;nlpD, 1807.7, , , , , , , 30750:3:3:0.664865;37250:3:3:0.534884, , 50750:1:1:0, 10250:1:1:0;12750:1:1:0, 46250:1:1:0;16750:2:3:1;41250:1:1:0, 14250:1:1:0;17250:2:2:1;750:1:1:0;7750:1:1:0;25750:1:1:0;6750:2:2:1;25750:2:2:1;18250:1:1:0.00884956;28250:1:1:0;32750:3:4:0.0540541;41750:3:4:0.0901639
rpsB, 658.3, , , , , , , , 17750:1:4:0, , , , 
rpsC;rplV;rplW;rpsJ;rplP;rplC;rpsS;rpsQ;rpmC;rplB;rplD, 3993.0, 39250:1:1:0.00473934, 15750:1:1:0, 55750:2:2:0.914634, 6750:1:1:0, , 4750:2:2:1, , 9250:1:1:0;9250:1:4:0.0151515;20750:1:4:0.0204082, 53750:3:5:0.877778, 52750:3:3:0.733333;56750:1:1:0;6750:2:2:1, , 11250:2:2:1;23750:1:1:0.00746269;4750:2:2:1
rpsE;rplE;rplX;rpsN;rplR;rpsH;rplN;rplO;rpmJ;rplF;prlA;rpmD, 4476.3, 6750:1:1:0;26250:2:3:0.957746;17750:1:1:0, 52750:2:2:1, 53250:2:2:1, 50750:2:3:0.923077;13250:1:1:0, 750:2:2:1;46250:2:3:0.981481;16750:3:4:0.128571;25250:3:3:0.857143, 4250:2:2:1;55250:3:6:0.459459, 32250:1:1:0;34250:2:2:1;55750:3:3:0.639535;27250:1:1:0, 21250:2:3:0.969697;4750:2:3:1;38750:1:1:0, 55750:3:5:0.902597;37750:2:2:1, 14750:1:1:0;10750:2:2:1;45750:3:3:0.531915;7250:2:2:1, 40750:1:1:0;40750:1:1:0;4750:1:1:0;25250:1:1:0;41250:1:1:0;43750:1:1:0;9250:1:1:0, 6750:2:2:0.980392;41250:1:1:0;8750:1:1:0;42250:3:4:0.0733945
