		0 Gen				250 Gen				500 Gen			
S036	5	-4.31	-5.23	-4.77	0.46	1.25	-0.22	0.51	0.74	2.67	1.44	2.06	0.61
S036	6	-2.59	-3.48	-3.04	0.44	1.83	-0.22	0.81	1.02	8.23	7.13	7.68	0.55
S036	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S036	8	-1.75	-4.23	-2.99	1.24	-0.86	-0.72	-0.79	0.07	1.12	0.67	0.89	0.23
S036	9	-3.28	-2.82	-3.05	0.23	-0.57	0.12	-0.22	0.35	3.99	4.60	4.30	0.31
S036	10	-2.70	-2.90	-2.80	0.10	0.52	0.33	0.42	0.09	4.35	2.92	3.64	0.72
S036	11	-3.08	-4.35	-3.72	0.64	3.38	3.73	3.55	0.18	6.05	5.10	5.58	0.47
S036	12	-1.41	-4.61	-3.01	1.60	3.05	2.58	2.82	0.23	4.74	4.68	4.71	0.03
S048	1	-0.76	0.02	-0.37	0.39	3.86	2.55	3.20	0.66	4.83	5.52	5.17	0.35
S048	2	-0.20	-0.32	-0.26	0.06	2.68	3.40	3.04	0.36	7.70	6.30	7.00	0.70
S048	3	-0.94	-1.12	-1.03	0.09	-0.99	1.32	0.16	1.15	2.66	2.05	2.35	0.30
S048	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S048	5	-1.05	-3.28	-2.17	1.11	0.72	0.68	0.70	0.02	3.13	2.06	2.59	0.54
S048	6	-0.52	-3.29	-1.91	1.38	1.85	1.57	1.71	0.14	4.70	2.63	3.66	1.04
S048	7	-0.21	-1.23	-0.72	0.51	0.22	0.21	0.22	0.00	0.75	2.75	1.75	1.00
S048	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S048	9	-1.41	-2.76	-2.08	0.67	1.60	1.00	1.30	0.30	6.92	13.05	9.99	3.07
S048	10	-0.27	-3.00	-1.64	1.37	1.54	3.27	2.41	0.87	4.47	4.06	4.27	0.21
S048	11	-1.71	-2.99	-2.35	0.64	-0.73	-0.41	-0.57	0.16	3.52	3.33	3.43	0.10
S048	12	-0.76	-2.57	-1.66	0.90	3.16	2.83	3.00	0.16	6.46	8.22	7.34	0.88
S071	1	-7.15	-7.00	-7.08	0.07	-1.12	-0.51	-0.81	0.30	0.52	0.40	0.46	0.06
S071	2	0.74	1.56	1.15	0.41	6.17	2.39	4.28	1.89	6.01	6.55	6.28	0.27
S071	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S071	4	-0.31	0.47	0.08	0.39	1.28	2.16	1.72	0.44	3.43	2.06	2.74	0.68
S071	5	0.54	-0.92	-0.19	0.73	6.54	5.77	6.15	0.38	2.44	4.58	3.51	1.07
S071	6	-0.81	-0.57	-0.69	0.12	4.94	4.75	4.85	0.10	8.43	7.58	8.00	0.43
S071	7	-0.01	-1.42	-0.72	0.71	1.97	0.94	1.46	0.51	1.11	0.74	0.92	0.18
S071	8	-1.01	-1.19	-1.10	0.09	5.84	5.14	5.49	0.35	6.95	6.28	6.62	0.34
S071	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S071	10	0.42	-1.05	-0.31	0.73	4.30	2.67	3.48	0.82	4.79	5.07	4.93	0.14
S071	11	0.58	-0.51	0.04	0.55	5.59	6.10	5.84	0.26	5.47	5.87	5.67	0.20
S071	12	1.51	1.06	1.28	0.23	4.18	3.25	3.71	0.46	4.65	4.29	4.47	0.18
S078	1	-0.32	-0.21	-0.26	0.06	2.90	1.00	1.95	0.95	5.28	10.27	7.78	2.50
S078	2	-2.71	-0.45	-1.58	1.13	5.16	4.43	4.79	0.36	6.50	7.65	7.07	0.58
S078	3	-1.98	-0.16	-1.07	0.91	-0.40	0.47	0.04	0.43	1.29	2.94	2.12	0.82
S078	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S078	5	-0.59	-1.20	-0.89	0.31	6.69	5.17	5.93	0.76	8.35	7.75	8.05	0.30
S078	6	-1.78	0.05	-0.86	0.92	0.83	0.38	0.60	0.23	5.34	5.00	5.17	0.17
S078	7	-1.99	0.57	-0.71	1.28	1.29	1.28	1.29	0.00	0.87	-1.04	-0.08	0.96
S078	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S078	9	-0.71	-1.95	-1.33	0.62	0.63	0.97	0.80	0.17	3.34	0.74	2.04	1.30
S078	10	-2.04	-1.69	-1.86	0.17	1.76	3.14	2.45	0.69	4.61	8.30	6.46	1.84
S078	11	-0.78	-2.76	-1.77	0.99	1.32	1.49	1.41	0.08	4.03	6.48	5.25	1.22
S078	12	-1.32	-1.99	-1.65	0.33	5.74	2.78	4.26	1.48	5.08	5.80	5.44	0.36
S005	1	1.89	1.50	1.70	0.19	6.88	4.03	5.46	1.43	1.94	5.42	3.68	1.74
S005	2	-0.53	0.13	-0.20	0.33	2.71	0.67	1.69	1.02	2.64	2.72	2.68	0.04
S005	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S005	4	0.33	2.10	1.21	0.88	4.09	2.51	3.30	0.79	4.17	4.06	4.11	0.06
S005	5	-0.29	-0.01	-0.15	0.14	2.90	1.18	2.04	0.86	2.94	3.07	3.00	0.07
S005	6	1.18	1.49	1.33	0.16	3.86	2.81	3.34	0.53	3.66	5.10	4.38	0.72
S005	7	1.11	1.64	1.37	0.27	4.20	2.51	3.36	0.84	8.16	9.27	8.72	0.55
S005	8	-0.10	0.90	0.40	0.50	2.64	1.35	1.99	0.64	3.78	2.56	3.17	0.61
S005	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S005	10	-1.64	0.86	-0.39	1.25	2.31	1.61	1.96	0.35	5.61	10.70	8.15	2.54
S005	11	-0.31	3.82	1.75	2.07	6.42	4.30	5.36	1.06	4.15	3.34	3.75	0.40
S005	12	0.89	0.88	0.88	0.00	7.08	4.45	5.77	1.32	7.24	8.81	8.03	0.79
S006	1	1.90	1.25	1.58	0.33	1.57	-0.29	0.64	0.93	2.38	2.94	2.66	0.28
S006	2	-0.94	-0.18	-0.56	0.38	3.19	2.93	3.06	0.13	6.83	7.52	7.18	0.35
S006	3	-1.19	-0.52	-0.86	0.34	3.19	2.85	3.02	0.17	3.23	3.83	3.53	0.30
S006	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S006	5	-1.32	-0.64	-0.98	0.34	2.96	2.02	2.49	0.47	5.85	6.52	6.18	0.33
S006	6	-0.07	1.34	0.63	0.70	2.72	2.28	2.50	0.22	7.77	7.80	7.79	0.02
S006	7	-0.32	1.17	0.42	0.74	0.86	0.52	0.69	0.17	4.48	4.10	4.29	0.19
S006	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S006	9	-0.94	0.38	-0.28	0.66	1.91	1.72	1.81	0.10	5.34	5.20	5.27	0.07
S006	10	-1.97	-0.42	-1.20	0.77	0.73	1.53	1.13	0.40	6.78	5.03	5.90	0.87
S006	11	-0.10	-0.20	-0.15	0.05	3.60	2.70	3.15	0.45	3.04	4.40	3.72	0.68
S006	12	-0.56	0.79	0.11	0.67	3.70	2.81	3.26	0.45	6.02	7.80	6.91	0.89
S019	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S019	2	-1.69	-0.25	-0.97	0.72	4.05	3.36	3.71	0.35	5.34	5.88	5.61	0.27
S019	3	-1.03	-1.58	-1.31	0.27	2.86	1.67	2.27	0.59	5.01	6.06	5.54	0.53
S019	4	-1.17	-0.53	-0.85	0.32	2.18	1.00	1.59	0.59	4.05	3.16	3.60	0.44
S019	5	-1.13	0.01	-0.56	0.57	0.63	0.30	0.47	0.17	5.00	4.84	4.92	0.08
S019	6	-0.34	-1.00	-0.67	0.33	0.93	0.75	0.84	0.09	2.13	2.39	2.26	0.13
S019	7	-1.85	-1.32	-1.58	0.27	1.87	1.52	1.70	0.18	5.90	6.17	6.03	0.14
S019	8	-0.61	-0.61	-0.61	0.00	4.45	1.83	3.14	1.31	3.72	3.71	3.72	0.00
S019	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S019	10	-1.53	-1.97	-1.75	0.22	0.89	-0.12	0.39	0.51	1.02	1.19	1.10	0.09
S019	11	-2.46	-1.19	-1.82	0.64	1.20	0.75	0.97	0.22	4.78	6.03	5.41	0.62
S019	12	-0.64	-1.12	-0.88	0.24	3.87	2.35	3.11	0.76	9.38	9.71	9.55	0.16
S028	1	1.74	1.74	1.74	0.00	6.17	5.45	5.81	0.36	7.46	7.43	7.45	0.02
S028	2	-0.67	0.08	-0.29	0.38	2.05	1.24	1.65	0.41	2.52	1.77	2.15	0.38
S028	3	-0.52	-0.33	-0.42	0.10	0.75	0.74	0.74	0.01	4.01	3.98	4.00	0.01
S028	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S028	5	-1.49	-0.24	-0.86	0.63	1.14	1.01	1.08	0.06	4.38	3.71	4.04	0.34
S028	6	0.77	-0.12	0.32	0.45	3.47	2.39	2.93	0.54	3.29	3.29	3.29	0.00
S028	7	-1.99	-0.39	-1.19	0.80	0.96	-0.21	0.37	0.58	3.85	3.67	3.76	0.09
S028	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S028	9	-0.47	0.63	0.08	0.55	5.76	4.69	5.22	0.53	6.51	7.08	6.79	0.29
S028	10	-2.51	-1.88	-2.19	0.31	0.68	nan	0.68	0.00	5.60	5.90	5.75	0.15
S028	11	1.20	-1.32	-0.06	1.26	3.97	3.71	3.84	0.13	5.65	4.98	5.32	0.34
S028	12	-0.87	-0.87	-0.87	0.00	2.85	1.99	2.42	0.43	3.93	3.71	3.82	0.11
S029	1	-0.81	-1.56	-1.18	0.38	5.49	6.00	5.74	0.25	6.66	7.75	7.21	0.54
S029	2	-3.22	-3.18	-3.20	0.02	-0.95	0.14	-0.40	0.54	5.22	7.22	6.22	1.00
S029	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S029	4	-2.40	-2.22	-2.31	0.09	1.06	1.59	1.33	0.26	6.20	6.54	6.37	0.17
S029	5	-4.03	-2.09	-3.06	0.97	8.24	5.73	6.98	1.26	5.88	5.70	5.79	0.09
S029	6	-2.10	-2.60	-2.35	0.25	2.57	1.58	2.07	0.49	5.33	5.86	5.59	0.26
S029	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S029	8	-2.15	-2.29	-2.22	0.07	0.98	0.96	0.97	0.01	5.50	4.23	4.86	0.64
S029	9	-4.59	-1.91	-3.25	1.34	0.41	0.14	0.27	0.14	6.21	5.60	5.91	0.31
S029	10	-3.33	-3.14	-3.24	0.10	1.68	1.64	1.66	0.02	9.09	8.32	8.71	0.38
S029	11	-3.58	-1.38	-2.48	1.10	2.11	0.77	1.44	0.67	3.10	2.51	2.81	0.30
S029	12	-1.57	-2.40	-1.99	0.41	3.89	3.89	3.89	0.00	8.05	6.02	7.03	1.02
S059	1	0.47	-0.22	0.13	0.35	4.64	2.36	3.50	1.14	1.25	3.35	2.30	1.05
S059	2	0.67	0.25	0.46	0.21	4.35	4.26	4.31	0.05	7.16	6.38	6.77	0.39
S059	3	-1.34	0.74	-0.30	1.04	5.06	2.97	4.02	1.04	8.71	8.17	8.44	0.27
S059	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S059	5	-2.58	-0.71	-1.65	0.93	3.87	3.97	3.92	0.05	3.11	2.82	2.96	0.14
S059	6	-0.04	-0.32	-0.18	0.14	4.13	2.71	3.42	0.71	5.55	6.54	6.05	0.49
S059	7	-0.48	-1.45	-0.96	0.49	3.97	2.36	3.16	0.80	6.14	5.48	5.81	0.33
S059	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S059	9	0.08	-0.37	-0.14	0.23	2.21	1.76	1.98	0.23	7.50	8.25	7.87	0.38
S059	10	-1.44	-1.27	-1.35	0.08	1.52	0.66	1.09	0.43	7.22	5.59	6.40	0.82
S059	11	-1.42	-0.08	-0.75	0.67	-1.42	0.31	-0.56	0.87	5.94	5.92	5.93	0.01
S059	12	0.62	0.79	0.71	0.08	3.80	1.83	2.81	0.99	3.64	3.71	3.67	0.03
S061	1	0.59	0.90	0.75	0.15	6.58	5.09	5.84	0.75	4.17	7.39	5.78	1.61
S061	2	-1.46	0.41	-0.53	0.93	4.66	4.39	4.53	0.13	2.75	5.99	4.37	1.62
S061	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S061	4	-0.14	0.23	0.04	0.18	8.41	4.69	6.55	1.86	9.39	8.69	9.04	0.35
S061	5	-1.76	-2.59	-2.17	0.41	1.74	2.34	2.04	0.30	4.48	9.47	6.97	2.49
S061	6	-1.38	0.20	-0.59	0.79	4.43	4.04	4.23	0.19	4.28	7.68	5.98	1.70
S061	7	-1.44	-0.07	-0.76	0.69	2.02	3.08	2.55	0.53	3.12	3.17	3.14	0.03
S061	8	-0.47	-0.87	-0.67	0.20	3.61	2.11	2.86	0.75	3.11	3.19	3.15	0.04
S061	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S061	10	-0.54	0.14	-0.20	0.34	3.12	2.99	3.05	0.07	3.00	3.27	3.13	0.13
S061	11	0.36	1.46	0.91	0.55	2.90	2.99	2.94	0.04	1.69	1.46	1.57	0.12
S061	12	0.31	2.26	1.29	0.98	4.91	3.21	4.06	0.85	7.96	7.32	7.64	0.32
S062	1	-0.34	0.87	0.27	0.61	1.78	0.83	1.31	0.47	6.08	6.20	6.14	0.06
S062	2	0.76	1.48	1.12	0.36	3.14	2.09	2.61	0.52	2.95	3.26	3.11	0.16
S062	3	-0.34	1.42	0.54	0.88	1.69	1.02	1.35	0.33	1.35	1.17	1.26	0.09
S062	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S062	5	-1.84	0.32	-0.76	1.08	2.53	2.60	2.57	0.03	5.01	3.99	4.50	0.51
S062	6	-2.48	0.55	-0.97	1.52	-0.45	-0.31	-0.38	0.07	3.30	10.95	7.12	3.82
S062	7	0.09	0.16	0.12	0.03	6.52	6.02	6.27	0.25	4.58	7.42	6.00	1.42
S062	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S062	9	-3.45	0.56	-1.45	2.00	-0.10	0.89	0.39	0.49	2.52	0.93	1.72	0.80
S062	10	-1.50	-0.09	-0.79	0.70	3.33	3.61	3.47	0.14	4.07	3.29	3.68	0.39
S062	11	-2.42	0.98	-0.72	1.70	2.00	3.54	2.77	0.77	5.50	6.32	5.91	0.41
S062	12	-0.41	0.70	0.14	0.56	3.90	2.83	3.37	0.53	0.53	4.59	2.56	2.03
S004	1	-4.36	-5.32	-4.84	0.48	5.85	1.76	3.80	2.04	5.92	6.85	6.38	0.46
S004	2	-7.31	-5.90	-6.60	0.70	2.85	0.90	1.88	0.98	4.41	5.50	4.96	0.55
S004	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S004	4	-1.59	-1.91	-1.75	0.16	3.50	0.71	2.10	1.40	4.81	4.21	4.51	0.30
S004	5	-3.30	-1.48	-2.39	0.91	-3.13	-3.74	-3.44	0.31	3.36	3.40	3.38	0.02
S004	6	-2.78	-1.87	-2.32	0.45	-0.26	-2.01	-1.14	0.88	4.20	2.33	3.26	0.94
S004	7	-2.17	-0.65	-1.41	0.76	-1.70	-4.33	-3.02	1.32	2.94	3.45	3.20	0.25
S004	8	-5.07	-1.68	-3.38	1.69	7.31	3.54	5.42	1.89	7.75	7.25	7.50	0.25
S004	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S004	10	-2.09	-5.42	-3.76	1.66	-0.13	0.42	0.14	0.27	2.66	15.65	9.15	6.50
S004	11	-1.51	-1.34	-1.43	0.08	1.07	-1.10	-0.01	1.09	5.56	3.82	4.69	0.87
S004	12	-3.93	-3.21	-3.57	0.36	3.70	0.68	2.19	1.51	2.68	5.31	4.00	1.31
S043	1	-5.61	-7.57	-6.59	0.98	2.59	-2.59	0.00	2.59	1.95	4.86	3.41	1.46
S043	2	-5.75	-4.65	-5.20	0.55	3.21	3.87	3.54	0.33	7.21	7.27	7.24	0.03
S043	3	-5.87	-5.36	-5.61	0.26	-2.44	-3.96	-3.20	0.76	2.48	3.30	2.89	0.41
S043	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S043	5	-6.13	-7.23	-6.68	0.55	-0.12	0.20	0.04	0.16	5.74	5.22	5.48	0.26
S043	6	-5.40	-5.37	-5.38	0.02	-1.91	-2.08	-2.00	0.09	6.14	7.07	6.60	0.47
S043	7	-7.68	-6.72	-7.20	0.48	-2.50	-2.90	-2.70	0.20	3.35	3.41	3.38	0.03
S043	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S043	9	-4.33	-5.14	-4.73	0.41	5.77	2.78	4.27	1.50	5.34	6.64	5.99	0.65
S043	10	-4.23	-8.46	-6.34	2.12	-2.46	-0.29	-1.37	1.08	6.37	6.81	6.59	0.22
S043	11	-5.32	-2.79	-4.06	1.27	2.40	2.10	2.25	0.15	5.07	3.40	4.23	0.84
S043	12	-4.52	-4.59	-4.55	0.03	3.01	1.41	2.21	0.80	2.17	13.96	8.07	5.89
S054	1	-5.90	-4.64	-5.27	0.63	0.85	-2.05	-0.60	1.45	4.14	4.18	4.16	0.02
S054	2	-5.39	-5.68	-5.53	0.15	4.13	2.96	3.55	0.58	7.26	10.15	8.71	1.44
S054	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S054	4	-6.15	-7.15	-6.65	0.50	-0.62	-3.30	-1.96	1.34	5.83	4.28	5.06	0.77
S054	5	-6.45	-6.14	-6.29	0.16	4.19	0.89	2.54	1.65	3.38	2.18	2.78	0.60
S054	6	-7.44	-5.72	-6.58	0.86	-4.74	-3.99	-4.36	0.37	2.40	3.81	3.10	0.71
S054	7	-5.75	-6.13	-5.94	0.19	4.26	0.92	2.59	1.67	2.40	1.99	2.20	0.21
S054	8	-4.81	-3.70	-4.25	0.55	-1.35	-0.44	-0.90	0.45	9.55	8.24	8.89	0.65
S054	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S054	10	-4.74	-5.29	-5.02	0.28	4.47	2.42	3.45	1.03	3.07	4.05	3.56	0.49
S054	11	-6.60	-6.36	-6.48	0.12	6.76	4.39	5.58	1.18	6.21	7.76	6.98	0.77
S054	12	-2.29	-4.41	-3.35	1.06	-0.80	-2.97	-1.89	1.08	2.55	2.97	2.76	0.21
S058	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S058	2	-5.88	-5.26	-5.57	0.31	-1.91	-3.71	-2.81	0.90	3.35	3.24	3.29	0.05
S058	3	-5.54	-5.09	-5.31	0.22	0.34	-0.42	-0.04	0.38	4.41	3.10	3.76	0.65
S058	4	-3.80	-4.06	-3.93	0.13	4.04	1.91	2.97	1.06	4.26	3.04	3.65	0.61
S058	5	-5.69	-5.07	-5.38	0.31	-0.70	-2.60	-1.65	0.95	2.79	2.33	2.56	0.23
S058	6	-5.54	-3.70	-4.62	0.92	0.03	-0.49	-0.23	0.26	1.95	3.92	2.94	0.98
S058	7	-6.63	-4.97	-5.80	0.83	-0.83	0.42	-0.21	0.63	6.55	6.10	6.32	0.23
S058	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S058	9	-4.72	-2.33	-3.52	1.20	-5.17	nan	-5.17	0.00	3.79	5.91	4.85	1.06
S058	10	-4.32	-7.31	-5.81	1.50	-3.98	-0.98	-2.48	1.50	3.88	2.96	3.42	0.46
S058	11	-5.62	-4.17	-4.90	0.73	3.92	2.36	3.14	0.78	5.27	6.03	5.65	0.38
S058	12	-5.64	-8.12	-6.88	1.24	-3.39	-2.79	-3.09	0.30	5.73	5.62	5.67	0.06
S064	1	-4.30	-4.13	-4.21	0.08	3.62	0.16	1.89	1.73	3.51	3.03	3.27	0.24
S064	2	-6.88	-8.26	-7.57	0.69	-2.04	-1.67	-1.85	0.19	3.35	2.92	3.13	0.22
S064	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S064	4	-7.53	-7.70	-7.61	0.09	-6.19	-3.92	-5.05	1.14	2.04	2.51	2.27	0.24
S064	5	-3.76	-5.31	-4.54	0.78	-0.13	-0.69	-0.41	0.28	5.50	5.18	5.34	0.16
S064	6	-5.20	-7.76	-6.48	1.28	-0.38	-2.39	-1.38	1.01	2.70	3.09	2.89	0.19
S064	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S064	8	-5.19	-5.58	-5.39	0.19	-0.37	-0.91	-0.64	0.27	2.59	1.41	2.00	0.59
S064	9	-6.98	-7.96	-7.47	0.49	-4.44	-5.00	-4.72	0.28	4.95	4.02	4.48	0.47
S064	10	-8.58	-6.48	-7.53	1.05	2.88	0.99	1.93	0.94	3.12	3.04	3.08	0.04
S064	11	-8.24	-6.34	-7.29	0.95	-1.15	-0.65	-0.90	0.25	2.74	1.87	2.30	0.44
S064	12	-7.61	-7.94	-7.77	0.17	7.58	8.02	7.80	0.22	8.83	10.06	9.44	0.62
S068	1	-4.17	-3.27	-3.72	0.45	1.99	-1.48	0.26	1.73	4.21	2.81	3.51	0.70
S068	2	-7.62	-4.86	-6.24	1.38	3.88	4.06	3.97	0.09	8.13	7.60	7.87	0.26
S068	3	-5.10	-3.79	-4.45	0.65	-0.05	0.52	0.24	0.29	3.38	2.10	2.74	0.64
S068	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S068	5	-6.71	-7.46	-7.09	0.38	0.92	1.00	0.96	0.04	3.71	2.54	3.13	0.58
S068	6	-2.83	-3.41	-3.12	0.29	-3.51	-1.19	-2.35	1.16	4.37	3.17	3.77	0.60
S068	7	-8.07	-9.63	-8.85	0.78	-1.52	-1.69	-1.60	0.09	4.75	2.55	3.65	1.10
S068	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S068	9	-5.12	-2.98	-4.05	1.07	-3.71	-1.88	-2.80	0.92	8.69	7.49	8.09	0.60
S068	10	-6.38	-4.34	-5.36	1.02	1.23	-2.49	-0.63	1.86	-0.28	1.79	0.76	1.04
S068	11	-7.01	-4.60	-5.81	1.20	8.64	3.12	5.88	2.76	10.67	8.61	9.64	1.03
S068	12	-4.99	-6.81	-5.90	0.91	2.11	1.59	1.85	0.26	5.07	8.62	6.84	1.77
S075	1	-3.21	-3.79	-3.50	0.29	1.08	-3.36	-1.14	2.22	3.19	3.92	3.55	0.37
S075	2	-4.21	-4.06	-4.13	0.07	1.41	-2.59	-0.59	2.00	2.13	3.33	2.73	0.60
S075	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S075	4	-3.25	-3.73	-3.49	0.24	-2.76	-2.00	-2.38	0.38	3.12	5.94	4.53	1.41
S075	5	-5.92	-4.51	-5.21	0.71	0.72	0.93	0.83	0.11	7.79	6.99	7.39	0.40
S075	6	-6.16	-5.24	-5.70	0.46	0.77	-1.25	-0.24	1.01	5.71	3.06	4.38	1.32
S075	7	-4.87	-5.27	-5.07	0.20	-3.56	-3.54	-3.55	0.01	2.21	1.82	2.02	0.20
S075	8	-4.20	-5.82	-5.01	0.81	0.13	-1.33	-0.60	0.73	6.70	7.18	6.94	0.24
S075	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S075	10	-4.75	-4.32	-4.54	0.21	-5.35	-4.66	-5.00	0.35	2.06	0.41	1.24	0.82
S075	11	-7.72	-5.12	-6.42	1.30	-3.97	-3.53	-3.75	0.22	4.72	5.33	5.03	0.30
S075	12	-3.72	-3.43	-3.58	0.14	-3.03	-2.34	-2.68	0.34	1.06	2.83	1.94	0.88
S088	1	-3.83	-3.03	-3.43	0.40	2.51	-0.81	0.85	1.66	5.61	4.95	5.28	0.33
S088	2	-4.14	-4.83	-4.49	0.34	1.17	-1.95	-0.39	1.56	4.61	2.28	3.45	1.16
S088	3	-5.78	-2.32	-4.05	1.73	5.01	3.51	4.26	0.75	3.85	4.47	4.16	0.31
S088	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S088	5	-3.29	-3.27	-3.28	0.01	-2.64	-2.45	-2.54	0.09	4.79	2.78	3.78	1.01
S088	6	-4.35	-4.35	-4.35	0.00	4.38	2.89	3.64	0.75	9.31	12.42	10.86	1.56
S088	7	-4.85	-3.90	-4.37	0.47	2.36	2.12	2.24	0.12	5.23	6.57	5.90	0.67
S088	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S088	9	-4.63	-3.03	-3.83	0.80	-1.03	-2.83	-1.93	0.90	0.29	-1.27	-0.49	0.78
S088	10	-4.85	-3.28	-4.07	0.79	0.71	0.05	0.38	0.33	2.44	6.54	4.49	2.05
S088	11	-3.74	-4.72	-4.23	0.49	-0.72	-0.47	-0.60	0.12	2.79	6.96	4.87	2.09
S088	12	-3.40	-4.22	-3.81	0.41	-0.45	-1.42	-0.94	0.49	1.79	2.18	1.98	0.19
